State / Indian Tribe         ,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,year,amount,inflation rate,Year,Women,Infants,Children,Total,Food Costs,NSA* Costs,AVG Food Cost,State            ,16-Feb,Jan-17 Prelim,Feb-17 Initial,% Change vs Jan-17,% Change vs Feb-16,YEAR
Alabama,49.87,46.59,45.19,48.34,45.52,,,,,,,,,,,,,,,,,,
Alaska,53.74,50.48,54.64,52.61,52.94,,,,,,,,,,,,,,,,,,
American Samoa,70.18,69.41,70.52,72.94,74.51,,,,,,,,,,,,,,,,,,
Arizona,42.16,42.88,44.09,45.55,44.93,,,,,,,,,,,,,,,,,,
Arkansas,45.79,46.51,43.9,43.81,43.09,,,,,,,,,,,,,,,,,,
California,49.35,46.05,47.21,47.8,46.09,,,,,,,,,,,,,,,,,,
Colorado,40.56,40.61,40.99,41.36,41.03,,,,,,,,,,,,,,,,,,
Connecticut,52.19,42.25,46.22,48.04,43.65,,,,,,,,,,,,,,,,,,
Delaware,40.85,37.85,40.07,40.55,40.07,,,,,,,,,,,,,,,,,,
District of Columbia,44.02,45.18,42.66,44.01,42.83,,,,,,,,,,,,,,,,,,
Florida,44.61,44.62,43.8,42.17,42.03,,,,,,,,,,,,,,,,,,
Georgia,56.06,45.47,40.82,40.03,39.62,,,,,,,,,,,,,,,,,,
Guam,69.57,74.1,77.47,78.62,77.59,,,,,,,,,,,,,,,,,,
Hawaii,53.7,51.97,53.1,51.38,53.08,,,,,,,,,,,,,,,,,,
Idaho,36.84,36.83,36.19,35.28,34.59,,,,,,,,,,,,,,,,,,
Illinois,47.7,48.16,47.81,48.44,52.16,,,,,,,,,,,,,,,,,,
Indiana,37.85,37.26,38.09,38.47,36.17,,,,,,,,,,,,,,,,,,
Iowa,36.8,33.44,36.48,36.86,30.51,,,,,,,,,,,,,,,,,,
Kansas,40.03,37.78,39.59,36.41,37.98,,,,,,,,,,,,,,,,,,
Kentucky,38.56,39.42,40.86,42.72,40.15,,,,,,,,,,,,,,,,,,
Louisiana,51.94,50.18,48.91,48.04,47.14,,,,,,,,,,,,,,,,,,
Maine,41.22,41.06,44.41,45.71,39.69,,,,,,,,,,,,,,,,,,
Maryland,44.88,43.05,41.38,45.14,44.39,,,,,,,,,,,,,,,,,,
Massachusetts,40.83,39.99,39.2,38.25,38.95,,,,,,,,,,,,,,,,,,
Michigan,43.12,40.46,41.23,38.62,38.6,,,,,,,,,,,,,,,,,,
Minnesota,43.22,46.57,43.79,44.07,43.98,,,,,,,,,,,,,,,,,,
Mississippi,54.55,54.05,52.99,53.25,53.73,,,,,,,,,,,,,,,,,,
Missouri,38.94,37.6,38.2,38.22,36.16,,,,,,,,,,,,,,,,,,
Montana,41.91,42.68,38.95,41.4,42.23,,,,,,,,,,,,,,,,,,
Nebraska,43.36,44.72,45.96,43.65,41.36,,,,,,,,,,,,,,,,,,
Nevada,37.98,37.62,37.26,37.03,36.05,,,,,,,,,,,,,,,,,,
New Hampshire,34.45,32.89,32.45,33.05,33.15,,,,,,,,,,,,,,,,,,
New Jersey,52.72,53.48,53.31,53.48,53.48,,,,,,,,,,,,,,,,,,
New Mexico,38.25,36.03,37.54,37.0,36.06,,,,,,,,,,,,,,,,,,
New York,55.02,54.71,55.29,53.97,53.09,,,,,,,,,,,,,,,,,,
North Carolina,45.14,43.28,46.63,42.84,42.73,,,,,,,,,,,,,,,,,,
North Dakota,48.1,48.92,47.3,47.02,47.21,,,,,,,,,,,,,,,,,,
Ohio,36.02,35.78,35.93,34.76,31.67,,,,,,,,,,,,,,,,,,
Oklahoma,39.88,40.3,40.02,38.67,35.96,,,,,,,,,,,,,,,,,,
Oregon,39.84,39.93,38.83,40.52,37.48,,,,,,,,,,,,,,,,,,
Pennsylvania,48.54,43.94,41.79,45.93,44.19,,,,,,,,,,,,,,,,,,
Puerto Rico,88.57,88.98,83.07,86.38,88.08,,,,,,,,,,,,,,,,,,
Rhode Island,48.16,46.38,44.27,44.23,44.56,,,,,,,,,,,,,,,,,,
South Carolina,46.6,46.26,46.71,45.94,44.96,,,,,,,,,,,,,,,,,,
South Dakota,46.35,47.47,48.7,48.42,46.37,,,,,,,,,,,,,,,,,,
Tennessee,41.84,41.98,44.05,38.23,41.63,,,,,,,,,,,,,,,,,,
Texas,29.3,26.46,29.27,28.89,29.92,,,,,,,,,,,,,,,,,,
Utah,35.79,36.1,36.4,36.87,37.89,,,,,,,,,,,,,,,,,,
Vermont,48.44,49.91,52.9,53.06,47.93,,,,,,,,,,,,,,,,,,
Virginia,32.89,31.21,37.92,30.68,35.36,,,,,,,,,,,,,,,,,,
Virgin Islands,88.33,84.76,76.49,79.0,79.03,,,,,,,,,,,,,,,,,,
Washington,41.76,41.29,41.96,43.26,42.3,,,,,,,,,,,,,,,,,,
West Virginia,44.01,42.33,39.28,39.22,41.15,,,,,,,,,,,,,,,,,,
Wisconsin,42.84,43.33,44.5,44.73,41.23,,,,,,,,,,,,,,,,,,
Wyoming,33.87,31.69,33.16,30.88,33.54,,,,,,,,,,,,,,,,,,
Northern Marianas,69.35,70.01,71.32,73.22,70.94,,,,,,,,,,,,,,,,,,
Alabama,49.87,46.59,45.19,48.34,45.52,,,,,,,,,,,,,,,,,,
Alaska,53.74,50.48,54.64,52.61,52.94,,,,,,,,,,,,,,,,,,
American Samoa,70.18,69.41,70.52,72.94,74.51,,,,,,,,,,,,,,,,,,
Arizona,42.16,42.88,44.09,45.55,44.93,,,,,,,,,,,,,,,,,,
Arkansas,45.79,46.51,43.9,43.81,43.09,,,,,,,,,,,,,,,,,,
California,49.35,46.05,47.21,47.8,46.09,,,,,,,,,,,,,,,,,,
Colorado,40.56,40.61,40.99,41.36,41.03,,,,,,,,,,,,,,,,,,
Connecticut,52.19,42.25,46.22,48.04,43.65,,,,,,,,,,,,,,,,,,
Delaware,40.85,37.85,40.07,40.55,40.07,,,,,,,,,,,,,,,,,,
District of Columbia,44.02,45.18,42.66,44.01,42.83,,,,,,,,,,,,,,,,,,
Florida,44.61,44.62,43.8,42.17,42.03,,,,,,,,,,,,,,,,,,
Georgia,56.06,45.47,40.82,40.03,39.62,,,,,,,,,,,,,,,,,,
Guam,69.57,74.1,77.47,78.62,77.59,,,,,,,,,,,,,,,,,,
Hawaii,53.7,51.97,53.1,51.38,53.08,,,,,,,,,,,,,,,,,,
Idaho,36.84,36.83,36.19,35.28,34.59,,,,,,,,,,,,,,,,,,
Illinois,47.7,48.16,47.81,48.44,52.16,,,,,,,,,,,,,,,,,,
Indiana,37.85,37.26,38.09,38.47,36.17,,,,,,,,,,,,,,,,,,
Iowa,36.8,33.44,36.48,36.86,30.51,,,,,,,,,,,,,,,,,,
Kansas,40.03,37.78,39.59,36.41,37.98,,,,,,,,,,,,,,,,,,
Kentucky,38.56,39.42,40.86,42.72,40.15,,,,,,,,,,,,,,,,,,
Louisiana,51.94,50.18,48.91,48.04,47.14,,,,,,,,,,,,,,,,,,
Maine,41.22,41.06,44.41,45.71,39.69,,,,,,,,,,,,,,,,,,
Maryland,44.88,43.05,41.38,45.14,44.39,,,,,,,,,,,,,,,,,,
Massachusetts,40.83,39.99,39.2,38.25,38.95,,,,,,,,,,,,,,,,,,
Michigan,43.12,40.46,41.23,38.62,38.6,,,,,,,,,,,,,,,,,,
Minnesota,43.22,46.57,43.79,44.07,43.98,,,,,,,,,,,,,,,,,,
Mississippi,54.55,54.05,52.99,53.25,53.73,,,,,,,,,,,,,,,,,,
Missouri,38.94,37.6,38.2,38.22,36.16,,,,,,,,,,,,,,,,,,
Montana,41.91,42.68,38.95,41.4,42.23,,,,,,,,,,,,,,,,,,
Nebraska,43.36,44.72,45.96,43.65,41.36,,,,,,,,,,,,,,,,,,
Nevada,37.98,37.62,37.26,37.03,36.05,,,,,,,,,,,,,,,,,,
New Hampshire,34.45,32.89,32.45,33.05,33.15,,,,,,,,,,,,,,,,,,
New Jersey,52.72,53.48,53.31,53.48,53.48,,,,,,,,,,,,,,,,,,
New Mexico,38.25,36.03,37.54,37.0,36.06,,,,,,,,,,,,,,,,,,
New York,55.02,54.71,55.29,53.97,53.09,,,,,,,,,,,,,,,,,,
North Carolina,45.14,43.28,46.63,42.84,42.73,,,,,,,,,,,,,,,,,,
North Dakota,48.1,48.92,47.3,47.02,47.21,,,,,,,,,,,,,,,,,,
Ohio,36.02,35.78,35.93,34.76,31.67,,,,,,,,,,,,,,,,,,
Oklahoma,39.88,40.3,40.02,38.67,35.96,,,,,,,,,,,,,,,,,,
Oregon,39.84,39.93,38.83,40.52,37.48,,,,,,,,,,,,,,,,,,
Pennsylvania,48.54,43.94,41.79,45.93,44.19,,,,,,,,,,,,,,,,,,
Puerto Rico,88.57,88.98,83.07,86.38,88.08,,,,,,,,,,,,,,,,,,
Rhode Island,48.16,46.38,44.27,44.23,44.56,,,,,,,,,,,,,,,,,,
South Carolina,46.6,46.26,46.71,45.94,44.96,,,,,,,,,,,,,,,,,,
South Dakota,46.35,47.47,48.7,48.42,46.37,,,,,,,,,,,,,,,,,,
Tennessee,41.84,41.98,44.05,38.23,41.63,,,,,,,,,,,,,,,,,,
Texas,29.3,26.46,29.27,28.89,29.92,,,,,,,,,,,,,,,,,,
Utah,35.79,36.1,36.4,36.87,37.89,,,,,,,,,,,,,,,,,,
Vermont,48.44,49.91,52.9,53.06,47.93,,,,,,,,,,,,,,,,,,
Virginia,32.89,31.21,37.92,30.68,35.36,,,,,,,,,,,,,,,,,,
Virgin Islands,88.33,84.76,76.49,79.0,79.03,,,,,,,,,,,,,,,,,,
Washington,41.76,41.29,41.96,43.26,42.3,,,,,,,,,,,,,,,,,,
West Virginia,44.01,42.33,39.28,39.22,41.15,,,,,,,,,,,,,,,,,,
Wisconsin,42.84,43.33,44.5,44.73,41.23,,,,,,,,,,,,,,,,,,
Wyoming,33.87,31.69,33.16,30.88,33.54,,,,,,,,,,,,,,,,,,
Northern Marianas,69.35,70.01,71.32,73.22,70.94,,,,,,,,,,,,,,,,,,
Alabama,49.87,46.59,45.19,48.34,45.52,,,,,,,,,,,,,,,,,,
Alaska,53.74,50.48,54.64,52.61,52.94,,,,,,,,,,,,,,,,,,
American Samoa,70.18,69.41,70.52,72.94,74.51,,,,,,,,,,,,,,,,,,
Arizona,42.16,42.88,44.09,45.55,44.93,,,,,,,,,,,,,,,,,,
Arkansas,45.79,46.51,43.9,43.81,43.09,,,,,,,,,,,,,,,,,,
California,49.35,46.05,47.21,47.8,46.09,,,,,,,,,,,,,,,,,,
Colorado,40.56,40.61,40.99,41.36,41.03,,,,,,,,,,,,,,,,,,
Connecticut,52.19,42.25,46.22,48.04,43.65,,,,,,,,,,,,,,,,,,
Delaware,40.85,37.85,40.07,40.55,40.07,,,,,,,,,,,,,,,,,,
District of Columbia,44.02,45.18,42.66,44.01,42.83,,,,,,,,,,,,,,,,,,
Florida,44.61,44.62,43.8,42.17,42.03,,,,,,,,,,,,,,,,,,
Georgia,56.06,45.47,40.82,40.03,39.62,,,,,,,,,,,,,,,,,,
Guam,69.57,74.1,77.47,78.62,77.59,,,,,,,,,,,,,,,,,,
Hawaii,53.7,51.97,53.1,51.38,53.08,,,,,,,,,,,,,,,,,,
Idaho,36.84,36.83,36.19,35.28,34.59,,,,,,,,,,,,,,,,,,
Illinois,47.7,48.16,47.81,48.44,52.16,,,,,,,,,,,,,,,,,,
Indiana,37.85,37.26,38.09,38.47,36.17,,,,,,,,,,,,,,,,,,
Iowa,36.8,33.44,36.48,36.86,30.51,,,,,,,,,,,,,,,,,,
Kansas,40.03,37.78,39.59,36.41,37.98,,,,,,,,,,,,,,,,,,
Kentucky,38.56,39.42,40.86,42.72,40.15,,,,,,,,,,,,,,,,,,
Louisiana,51.94,50.18,48.91,48.04,47.14,,,,,,,,,,,,,,,,,,
Maine,41.22,41.06,44.41,45.71,39.69,,,,,,,,,,,,,,,,,,
Maryland,44.88,43.05,41.38,45.14,44.39,,,,,,,,,,,,,,,,,,
Massachusetts,40.83,39.99,39.2,38.25,38.95,,,,,,,,,,,,,,,,,,
Michigan,43.12,40.46,41.23,38.62,38.6,,,,,,,,,,,,,,,,,,
Minnesota,43.22,46.57,43.79,44.07,43.98,,,,,,,,,,,,,,,,,,
Mississippi,54.55,54.05,52.99,53.25,53.73,,,,,,,,,,,,,,,,,,
Missouri,38.94,37.6,38.2,38.22,36.16,,,,,,,,,,,,,,,,,,
Montana,41.91,42.68,38.95,41.4,42.23,,,,,,,,,,,,,,,,,,
Nebraska,43.36,44.72,45.96,43.65,41.36,,,,,,,,,,,,,,,,,,
Nevada,37.98,37.62,37.26,37.03,36.05,,,,,,,,,,,,,,,,,,
New Hampshire,34.45,32.89,32.45,33.05,33.15,,,,,,,,,,,,,,,,,,
New Jersey,52.72,53.48,53.31,53.48,53.48,,,,,,,,,,,,,,,,,,
New Mexico,38.25,36.03,37.54,37.0,36.06,,,,,,,,,,,,,,,,,,
New York,55.02,54.71,55.29,53.97,53.09,,,,,,,,,,,,,,,,,,
North Carolina,45.14,43.28,46.63,42.84,42.73,,,,,,,,,,,,,,,,,,
North Dakota,48.1,48.92,47.3,47.02,47.21,,,,,,,,,,,,,,,,,,
Ohio,36.02,35.78,35.93,34.76,31.67,,,,,,,,,,,,,,,,,,
Oklahoma,39.88,40.3,40.02,38.67,35.96,,,,,,,,,,,,,,,,,,
Oregon,39.84,39.93,38.83,40.52,37.48,,,,,,,,,,,,,,,,,,
Pennsylvania,48.54,43.94,41.79,45.93,44.19,,,,,,,,,,,,,,,,,,
Puerto Rico,88.57,88.98,83.07,86.38,88.08,,,,,,,,,,,,,,,,,,
Rhode Island,48.16,46.38,44.27,44.23,44.56,,,,,,,,,,,,,,,,,,
South Carolina,46.6,46.26,46.71,45.94,44.96,,,,,,,,,,,,,,,,,,
South Dakota,46.35,47.47,48.7,48.42,46.37,,,,,,,,,,,,,,,,,,
Tennessee,41.84,41.98,44.05,38.23,41.63,,,,,,,,,,,,,,,,,,
Texas,29.3,26.46,29.27,28.89,29.92,,,,,,,,,,,,,,,,,,
Utah,35.79,36.1,36.4,36.87,37.89,,,,,,,,,,,,,,,,,,
Vermont,48.44,49.91,52.9,53.06,47.93,,,,,,,,,,,,,,,,,,
Virginia,32.89,31.21,37.92,30.68,35.36,,,,,,,,,,,,,,,,,,
Virgin Islands,88.33,84.76,76.49,79.0,79.03,,,,,,,,,,,,,,,,,,
Washington,41.76,41.29,41.96,43.26,42.3,,,,,,,,,,,,,,,,,,
West Virginia,44.01,42.33,39.28,39.22,41.15,,,,,,,,,,,,,,,,,,
Wisconsin,42.84,43.33,44.5,44.73,41.23,,,,,,,,,,,,,,,,,,
Wyoming,33.87,31.69,33.16,30.88,33.54,,,,,,,,,,,,,,,,,,
Northern Marianas,69.35,70.01,71.32,73.22,70.94,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,1.0,0.02,,,,,,,,,,,,,,,
,,,,,,2013.0,1.01,0.01,,,,,,,,,,,,,,,
,,,,,,2014.0,1.03,0.02,,,,,,,,,,,,,,,
,,,,,,2015.0,1.03,0.0,,,,,,,,,,,,,,,
,,,,,,2016.0,1.05,0.01,,,,,,,,,,,,,,,
,,,,,,2017.0,1.07,0.02,,,,,,,,,,,,,,,
,,,,,,2018.0,1.09,0.02,,,,,,,,,,,,,,,
,,,,,,2019.0,1.11,0.02,,,,,,,,,,,,,,,
,,,,,,2020.0,1.13,0.01,,,,,,,,,,,,,,,
,,,,,,2021.0,1.18,0.05,,,,,,,,,,,,,,,
,,,,,,2022.0,1.26,0.07,,,,,,,,,,,,,,,
,,,,,,,,,18-Oct,"1,585,013","1,670,647","3,433,818","6,689,478","249,111,450","621,616,739",37.24,,,,,,,
,,,,,,,,,18-Nov,"1,547,015","1,643,717","3,356,771","6,547,503","270,975,382","92,071,643",41.39,,,,,,,
,,,,,,,,,18-Dec,"1,499,452","1,613,780","3,278,599","6,391,831","267,569,401","157,454,966",41.86,,,,,,,
,,,,,,,,,19-Jan,"1,514,236","1,617,815","3,268,451","6,400,502","258,545,107","119,006,927",40.39,,,,,,,
,,,,,,,,,19-Feb,"1,490,926","1,597,665","3,227,485","6,316,076","252,493,958","109,627,239",39.98,,,,,,,
,,,,,,,,,19-Mar,"1,491,011","1,597,572","3,227,602","6,316,185","253,924,998","95,205,344",40.2,,,,,,,
,,,,,,,,,19-Apr,"1,497,834","1,596,016","3,225,035","6,318,885","276,617,186","126,331,091",43.78,,,,,,,
,,,,,,,,,19-May,"1,509,088","1,603,629","3,244,988","6,357,705","262,068,781","103,736,599",41.22,,,,,,,
,,,,,,,,,19-Jun,"1,500,112","1,587,530","3,232,800","6,320,442","258,695,834","111,776,129",40.93,,,,,,,
,,,,,,,,,19-Jul,"1,515,497","1,597,911","3,251,625","6,365,033","260,020,850","118,667,268",40.85,,,,,,,
,,,,,,,,,19-Aug,"1,520,020","1,599,609","3,268,005","6,387,634","244,231,452","116,873,543",38.24,,,,,,,
,,,,,,,,,19-Sep,"1,508,381","1,590,550","3,247,086","6,346,017","285,088,702","214,060,053",44.92,,,,,,,
,,,,,,,,,19-Oct,"1,510,437","1,594,711","3,231,757","6,336,905","234,395,285","569,310,351",36.99,,,,,,,
,,,,,,,,,19-Nov,"1,470,041","1,562,252","3,161,002","6,193,295","256,527,101","102,590,256",41.42,,,,,,,
,,,,,,,,,19-Dec,"1,437,854","1,545,072","3,097,555","6,080,481","264,363,281","198,491,523",43.48,,,,,,,
,,,,,,,,,20-Jan,"1,472,186","1,562,258","3,129,119","6,163,563","230,488,298","132,907,924",37.4,,,,,,,
,,,,,,,,,20-Feb,"1,454,679","1,545,620","3,109,510","6,109,809","252,589,654","125,317,649",41.34,,,,,,,
,,,,,,,,,20-Mar,"1,456,878","1,560,782","3,198,181","6,215,841","250,904,780","127,261,731",40.37,,,,,,,
,,,,,,,,,20-Apr,"1,445,575","1,559,172","3,273,034","6,277,781","228,144,373","128,839,851",36.34,,,,,,,
,,,,,,,,,20-May,"1,427,298","1,546,887","3,308,850","6,283,035","209,680,005","71,179,342",33.37,,,,,,,
,,,,,,,,,20-Jun,"1,423,353","1,541,861","3,341,122","6,306,336","232,410,344","130,623,592",36.85,,,,,,,
,,,,,,,,,20-Jul,"1,422,014","1,542,046","3,366,286","6,330,346","224,095,275","96,309,376",35.4,,,,,,,
,,,,,,,,,20-Aug,"1,414,915","1,528,860","3,382,682","6,326,457","241,096,252","109,315,681",38.11,,,,,,,
,,,,,,,,,20-Sep,"1,418,524","1,522,892","3,403,707","6,345,123","259,753,901","191,912,404",40.94,,,,,,,
,,,,,,,,,20-Oct,"1,425,128","1,524,414","3,429,556","6,379,098","221,901,927","719,590,353",34.79,,,,,,,
,,,,,,,,,20-Nov,"1,405,342","1,503,717","3,420,695","6,329,754","226,592,265","52,889,560",35.8,,,,,,,
,,,,,,,,,20-Dec,"1,400,003","1,502,403","3,425,985","6,328,391","230,802,744","119,522,497",36.47,,,,,,,
,,,,,,,,,21-Jan,"1,398,377","1,489,850","3,424,777","6,313,004","219,493,409","176,821,741",34.77,,,,,,,
,,,,,,,,,21-Feb,"1,378,160","1,468,867","3,412,402","6,259,429","211,528,872","102,066,237",33.79,,,,,,,
,,,,,,,,,21-Mar,"1,389,829","1,475,496","3,431,803","6,297,128","227,307,539","114,326,478",36.1,,,,,,,
,,,,,,,,,21-Apr,"1,369,815","1,461,726","3,406,170","6,237,711","200,287,045","102,802,538",32.11,,,,,,,
,,,,,,,,,21-May,"1,349,692","1,441,526","3,377,355","6,168,573","199,318,451","105,655,824",32.31,,,,,,,
,,,,,,,,,21-Jun,"1,351,443","1,433,916","3,364,254","6,149,613","232,674,742","139,168,321",37.84,,,,,,,
,,,,,,,,,21-Jul,"1,351,323","1,426,197","3,356,884","6,134,404","236,354,570","108,660,161",38.53,,,,,,,
,,,,,,,,,21-Aug,"1,361,648","1,424,471","3,371,082","6,157,201","234,285,681","96,500,134",38.05,,,,,,,
,,,,,,,,,21-Sep,"1,369,167","1,424,197","3,380,213","6,173,577","207,442,167","179,529,450",33.6,,,,,,,
,,,,,,,,,21-Oct,"1,374,725","1,412,540","3,420,069","6,207,334","241,913,521","673,733,285",38.97,,,,,,,
,,,,,,,,,21-Nov,"1,374,039","1,413,465","3,412,567","6,200,071","269,406,024","136,201,892",43.45,,,,,,,
,,,,,,,,,21-Dec,"1,364,228","1,411,269","3,387,676","6,163,173","273,950,810","117,878,127",44.45,,,,,,,
,,,,,,,,,22-Jan,"1,370,826","1,423,746","3,374,384","6,168,956","298,419,621","133,321,333",48.37,,,,,,,
,,,,,,,,,22-Feb,"1,370,127","1,419,606","3,365,696","6,155,429","263,866,390","117,211,682",42.87,,,,,,,
,,,,,,,,,,,,,,,,,Alabama,"128,220","126,063","122,917",-2.50%,-4.10%,
,,,,,,,,,,,,,,,,,Alaska,"18,913","18,446","18,070",-2.00%,-4.50%,
,,,,,,,,,,,,,,,,,American Samoa,"6,042","5,716","5,696",-0.30%,-5.70%,
,,,,,,,,,,,,,,,,,Arizona,"161,429","150,688","146,085",-3.10%,-9.50%,
,,,,,,,,,,,,,,,,,Arkansas,"79,899","76,349","75,739",-0.80%,-5.20%,
,,,,,,,,,,,,,,,,,California,"1,174,784","1,113,961","1,074,629",-3.50%,-8.50%,
,,,,,,,,,,,,,,,,,Colorado,"86,522","83,691","83,354",-0.40%,-3.70%,
,,,,,,,,,,,,,,,,,Connecticut,"48,351","47,993","46,865",-2.40%,-3.10%,
,,,,,,,,,,,,,,,,,Delaware,"18,210","16,751","16,524",-1.40%,-9.30%,
,,,,,,,,,,,,,,,,,District of Columbia,"14,081","14,029","13,586",-3.20%,-3.50%,
,,,,,,,,,,,,,,,,,Florida,"477,177","472,252","436,692",-7.50%,-8.50%,
,,,,,,,,,,,,,,,,,Georgia,"252,786","242,428","238,233",-1.70%,-5.80%,
,,,,,,,,,,,,,,,,,Guam,"7,151","6,660","6,639",-0.30%,-7.20%,
,,,,,,,,,,,,,,,,,Hawaii,"30,343","28,249","26,858",-4.90%,-11.50%,
,,,,,,,,,,,,,,,,,Idaho,"39,132","36,948","36,675",-0.70%,-6.30%,
,,,,,,,,,,,,,,,,,Illinois,"224,064","214,629","210,192",-2.10%,-6.20%,
,,,,,,,,,,,,,,,,,Indiana,"147,464","144,272","141,586",-1.90%,-4.00%,
,,,,,,,,,,,,,,,,,Iowa,"60,665","62,367","62,104",-0.40%,2.40%,
,,,,,,,,,,,,,,,,,Kansas,"59,238","55,541","53,618",-3.50%,-9.50%,
,,,,,,,,,,,,,,,,,Kentucky,"110,861","108,079","107,839",-0.20%,-2.70%,
,,,,,,,,,,,,,,,,,Louisiana,"128,301","121,010","120,324",-0.60%,-6.20%,
,,,,,,,,,,,,,,,,,Maine,"20,909","19,563","19,022",-2.80%,-9.00%,
,,,,,,,,,,,,,,,,,Maryland,"138,914","135,884","133,762",-1.60%,-3.70%,
,,,,,,,,,,,,,,,,,Massachusetts,"113,624","113,603","111,481",-1.90%,-1.90%,
,,,,,,,,,,,,,,,,,Michigan,"232,684","225,646","222,903",-1.20%,-4.20%,
,,,,,,,,,,,,,,,,,Minnesota,"114,954","111,265","109,750",-1.40%,-4.50%,
,,,,,,,,,,,,,,,,,Mississippi,"83,811","82,810","81,364",-1.70%,-2.90%,
,,,,,,,,,,,,,,,,,Missouri,"128,161","120,810","119,849",-0.80%,-6.50%,
,,,,,,,,,,,,,,,,,Montana,"18,478","17,732","17,337",-2.20%,-6.20%,
,,,,,,,,,,,,,,,,,Nebraska,"38,169","37,852","37,323",-1.40%,-2.20%,
,,,,,,,,,,,,,,,,,Nevada,"70,306","67,728","66,333",-2.10%,-5.70%,
,,,,,,,,,,,,,,,,,New Hampshire,"14,059","13,335","12,920",-3.10%,-8.10%,
,,,,,,,,,,,,,,,,,New Jersey,"154,253","150,512","146,720",-2.50%,-4.90%,
,,,,,,,,,,,,,,,,,New Mexico,"51,997","50,533","50,135",-0.80%,-3.60%,
,,,,,,,,,,,,,,,,,New York,"457,308","442,837","435,908",-1.60%,-4.70%,
,,,,,,,,,,,,,,,,,North Carolina,"239,439","232,374","230,169",-0.90%,-3.90%,
,,,,,,,,,,,,,,,,,North Dakota,"12,881","12,672","12,369",-2.40%,-4.00%,
,,,,,,,,,,,,,,,,,Ohio,"233,203","223,983","221,381",-1.20%,-5.10%,
,,,,,,,,,,,,,,,,,Oklahoma,"109,240","107,271","104,984",-2.10%,-3.90%,
,,,,,,,,,,,,,,,,,Oregon,"90,464","88,814","88,869",0.10%,-1.80%,
,,,,,,,,,,,,,,,,,Pennsylvania,"236,352","225,841","224,671",-0.50%,-4.90%,
,,,,,,,,,,,,,,,,,Puerto Rico,"159,202","142,461","141,279",-0.80%,-11.30%,
